Category,Surveillance Type,Description
Type of Biometric Collection or Technology,Facial recognition," Agents use facial recognition in real-time to obtain identities of people they encounter on patrol, and analysts use the technology to identify individuals from pictures or videos during subsequent investigations."
Type of Biometric Collection or Technology,Iris scans, Bi2 provides a mobile app to ICE’s deportation arm that scans irises and links them to a database of previous iris scans for real-time identification.
Type of Biometric Collection or Technology,Fingerprints, DHS uses fingerprints to identify people during raids and to search FBI and DoD  databases for identity information.
Type of Biometric Collection or Technology,DNA tests," DHS has taken DNA from arrested protestors and intends to use rapid DNA tests examine familial relationships of immigrants, paving the way for child separations."
Type of Biometric Collection or Technology,Integrated biometrics," These devicescollect multiple biometric identifiers— such as fingerprint, iris, and face scans—that can then be fed into DHS databases for use during current or future investigations."
Type of Biometric Collection or Technology,Biometric collection from immigration benefit applicants," DHS collects fingerprints, facial and iris scans, and DNA from applicants for identification purposes The agency is seeking to expand collection to application sponsors, including US citizens."
Type of Biometric Collection or Technology,IDENT & HART Databases," The Automated Biometric Identification System (IDENT) is DHS’s legacy biometrics database The agency has been working for years to transition to the Homeland Advanced Recognition System (HART), which will have expanded capacity for collecting and sharing biometric data Many of DHS’s biometric technologies, such as Mobile Fortify, are connected to IDENT/HART."
Type of Data Analysis Tool,"Investigative Case Management (ICM), FALCON, Immigration
OS, & Enhanced Leads Identification and Targeting for Enforcement (ELITE)"," This suite of Palantir-designed data analysis tools ingests massive troves of data, tracks agents’ investigative activities, sorts tips, assesses where immigrants likely live, tracks visa overstays, and allows agents to quickly access data on millions of people DHS uses them to determine whom to target with their operations and where."
Type of Data Analysis Tool,RAVEn," The Repository for Analytics in a Virtualized Environment (RAVEn) allows users to use a single query to search multiple federal databases as well as commercial and open-source information This combination of massive amounts of data allows agents to create detailed profiles of criminal suspects, immigrants, or anyone else."
Type of Data Analysis Tool,Project SAFEHAVEN," This new tool is designed toprovide DHS with real-time and historical location information and threat assessments of investigative targets, including those suspected only of illegal re-entry, although questions persist about the vendor’s past work and ability to actually produce such a product."
Type of Data Analysis Tool,LeadTrac, This system is designed to investigate people suspected of violating the length or other terms of their visas by organizing disparate information about the same person into one place.
Type of Data Analysis Tool,ERO Data Analysis System," This system combines prison release information, other government databases, and commercial data to locate individuals eligible for deportation."
Type of Data Analysis Tool,Other data analysis," DHS utilizes numerous other commercial tools, internal systems, and AI capabilities to analyze data in its possession This includes capabilities to score the relative value of investigative information, clean databases to compile complete information on individuals, draw insights from communications records, and more."
Type of Data Purchase,Social media monitoring and open-source intelligence," DHS buys software that scrapes social media, the regular internet, and the dark web and then analyzes this data to link disparate pieces of information or to flag certain posts for further investigation or action DHS also pays contractors to screen the social media of immigrants to inform adjudications of benefit requests."
Type of Data Purchase,Commercial data (not including real-time location data)," DHS is able to purchase home addresses, credit reports, car registrations, cell phone records, and other personal information that can be used to locate and build dossiers on individuals."
Type of Data Purchase,Skip tracing," ERO gives contractors a list of immigrants whom they want to locate, likely to speed up deportations, and the contractors attempt to confirm their home or work address using online or in-person surveillance."
Type of Location Tracking,Remote acquisition and purchase of cell phone location information," Using cell site simulators and commercially purchased cell phone location data—such as the data that powers geographically targeted advertisements —DHS can determine all the devices that were in a certain location at a given time (eg at a protest) and track specific devices over time, revealing frequented addresses, associations, and other intimate life details."
Type of Location Tracking,License plate readers (LPR) and LPR data," Mounted at fixed location or installed on vehicles, LPRs record the license plate and location of vehicles that pass by, enabling DHS to determine the precise location of vehicles over time DHS both operates its own LPRs and obtains data from commercial or other government-operated LPR systems Agents can use this to track criminal suspects, immigrants, or protestors[6]."
Type of Location Tracking,Other vehicle tracking," By attaching GPS monitors or using digital forensics to extract information from on-board computers, DHS can access detailed information about where cars have been."
Type of Phone Access Tools,Digital forensics," Comprising both physical devices and software, these tools allow investigators to download and analyze the contents of locked devices to find evidence of criminal behavior as well as personal photos, messages, and contacts."
Type of Phone Access Tools,Remote hacking," DHS officials have claimedthese tools are for investigating transnational criminal organizations, but they are capable of surveilling anyone’s phone contents undetected."
Type of Phone Access Tools,Wiretaps," Wiretaps, which require a probable cause warrant, allow investigators to intercept the contents of phone calls or electronic communications in furtherance of a criminal investigation."
Type of Video Surveillance,Drones," Often called unmanned aerial systems, drones have been used to watch and record protests, as well as to assist during large scale immigration raids."
Type of Video Surveillance,Body-worn and vehicle-mounted cameras," These cameras record agents’ interactions with the public from the point of view of the agent or their car They are used for further investigation, prosecution, or public media releases."
Type of Video Surveillance,Mobile security cameras," HSI agents may set up these “always on” cameras wherever they assess there is no reasonable expectation of privacy, including in home yards."