Category,Surveillance Type,Footnote number,Preceeding phrase,Location Tracking,License plate readers (LPR) and LPR data,Link 2
Video Surveillance,Drones,2,Atlantic Diving Supply,"Atlantic Diving Supply and WS Darley & Co are often intermediaries selling technology by other companies. While these contracts are likely for the purchase of Skydio or Parrot brand drones, the contract details are not specific about who the original designer or manufacturer of the drones purchased in these contracts is.",,
Video Surveillance,Body-worn and vehicle-mounted cameras,3,Affigent,Affigent is often an intermediary selling technology or software produced by another company. The description of the contract referenced here do not make clear who is the original designer or manufacturer of the equipment purchased in these contracts.,,
Biometrics,Facial recognition,4,NEC Corporation (OBIM),"While the office doesn’t directly interact with individuals targeted by DHS, many of the biometric systems at the department run through the Office of Biometric Identity Management (OBIM). This centralized office facilitates funding for several contracts and maintains DHS’s main biometrics database, to which many of the department’s collection and matching tools are connected.",,
Biometrics,DNA tests,5,"-25,000","A negative value listed in this column means that the net contract actions during that year were negative, which results from funding adjustments, early contract cancellations, or contract close-outs that de-obligated payments to the contractor.",,
Biometrics,Integrated biometrics,6,Panamerica Computers,Panamerica Computers and Enterprise Technology Solutions are often intermediaries selling technology or software produced by other companies. The descriptions of the contracts referenced here do not make clear who is the original designer or manufacturer of the equipment purchased in these contracts.,,
Location Tracking,Remote acquisition and purchase of cell phone location information,7,Babel Street,Panamerica Computers and Enterprise Technology Solutions are often intermediaries selling technology or software produced by other companies. The descriptions of the contracts referenced here do not make clear who is the original designer or manufacturer of the equipment purchased in these contracts.,,
Location Tracking,Remote acquisition and purchase of cell phone location information,8,Penlink,"Similarly, in addition to providing cell phone location information through its Webloc technology, Penlink also provides social media monitoring tools through its Tangles software. Publicly available information on contracts with the company does not specify which tools each contract is for.",,
Location Tracking,License plate readers (LPR) and LPR data,9,"immigrants, or protestors.","While generally outside the scope of this resource, sharing of LPR data by state and local police departments with DHS is widespread. For example, DHS has accessed local LPR systems run by the company Flock by having other agencies run searches on its behalf. The International Justice and Public Safety Network (called Nlets, an acronym of its former name) facilitates similar information sharing. Under contracts worth nearly $2 million since 2021, Nlets allows DHS to query vehicle registration and driver’s license information across the country. ","Link on ""run searches"": https://www.404media.co/ice-taps-into-nationwide-ai-enabled-camera-network-data-shows/","Link on ""facilitates"": https://nlets.org/about/what-we-do"
Location Tracking,License plate readers (LPR) and LPR data,10,Thundercat Technology,Thundercat Technology is often an intermediary selling technology or software produced by other companies. The description of the contract referenced here does not make clear who the original designer or manufacturer of the equipment purchased is.,,
Phone Access Tool,Digital forensics,11,Panamerica Computers,Panamerica Computers is often an intermediary selling technology or software produced by other companies. The descriptions of the contracts referenced here do not make it clear who is the original producer of the software or equipment purchased.,,
Data Purchases,Social media monitoring and open-source intelligence,12,CBP Babel,"Babel Street sells tools for both location tracking and social media monitoring. The company’s contracts with DHS don't adequately distinguish which tool is being purchased. As a result, all the expenditure data for Babel Street is included in the location tracking section. However, the CBP AI Use Case Inventory for Babel is exclusively about their social media monitoring technology and is therefore listed in this section.",,
Data Purchases,Commercial Data,13,Thundercat Technology,Thundercat Technology is often an intermediary selling technology or software produced by other companies. The description of the contract referenced here does not make clear who the original seller of the product or information purchased is. ,"Link on ""does not make clear"": https://www.404media.co/ice-appears-to-be-buying-immigrants-tax-identifiers-from-a-data-broker/",
Data Purchases,Commercial Data,14,Whooster,"Whooster incorporates social media and other open-source information into the data they provide, but they also rely on data from numerous additional sources.","Link on ""incorporates"": https://whooster.com/industries/law-enforcement-investigation-software/",